Provider	Provider Country	Vendor Identifier	UPC	ISRC	Artist / Show	Title / Episode / Season	Label/Studio/Network	Product Type Identifier	Units	Royalty Price	Begin Date	End Date	Customer Currency	Country Code	Royalty Currency	Preorder	Season Pass	ISAN	Apple Identifier	Customer Price	CMA
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	68	0	20080801	20080801	EUR	IT	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	31	0	20080801	20080801	AUD	AU	AUD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	17	0	20080801	20080801	MXN	MX	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	3	0	20080801	20080801	USD	BR	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	468	0	20080801	20080801	USD	US	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	EUR	BE	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	5	0	20080801	20080801	EUR	PT	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	KR	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	TH	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	TR	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	71	0	20080801	20080801	GBP	GB	GBP	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	21	0	20080801	20080801	EUR	ES	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	3	0	20080801	20080801	DKK	DK	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	4	0	20080801	20080801	USD	RU	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	VN	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	IL	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	GT	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	39	0	20080801	20080801	EUR	FR	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	64	0	20080801	20080801	EUR	DE	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	4	0	20080801	20080801	SEK	SE	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	ID	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	AE	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	12	0	20080801	20080801	EUR	NL	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	43	0	20080801	20080801	CAD	CA	CAD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	NZD	NZ	AUD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	SG	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	3	0	20080801	20080801	USD	ZA	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	3	0	20080801	20080801	USD	CL	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	7	0	20080801	20080801	EUR	AT	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	EUR	IE	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	EUR	LU	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	23	0	20080801	20080801	JPY	JP	JPY	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	2	0	20080801	20080801	USD	IN	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	MY	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	3	0	20080801	20080801	EUR	GR	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	3	0	20080801	20080801	NOK	NO	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	21	0	20080801	20080801	CHF	CH	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	SA	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	2	0	20080801	20080801	EUR	CZ	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	CR	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	PE	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	10	0	20080801	20080801	USD	HK	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080801	20080801	USD	LB	USD	 	 	 	285823926	0	 
